n_components,seed,log_likelihood,n_params,n_obs,bic,aic
7,5,-2713361.6898126677,90,1767777,5428018.050629806,5426903.379625335
7,4,-2699407.093525063,90,1767777,5400108.858054596,5398994.187050126
7,1,-2676902.545839619,90,1767777,5355099.762683708,5353985.091679238
7,2,-2689607.694293829,90,1767777,5380510.059592129,5379395.388587658
7,3,-2689178.2998129562,90,1767777,5379651.270630383,5378536.5996259125
7,0,-2670856.8156471406,90,1767777,5343008.302298752,5341893.631294281
7,7,-2719552.5706976554,90,1767777,5440399.812399781,5439285.141395311
7,6,-2688753.6686597667,90,1767777,5378802.008324004,5377687.337319533
9,3,-2776046.0114733255,134,1767777,5554019.644219973,5552360.022946651
9,2,-2700396.5816587503,134,1767777,5402720.784590823,5401061.163317501
9,0,-2692632.2679361315,134,1767777,5387192.157145585,5385532.535872263
9,1,-2691392.120182264,134,1767777,5384711.86163785,5383052.240364528
9,4,-2724326.109171718,134,1767777,5450579.839616758,5448920.218343436
9,5,-2670589.546546669,134,1767777,5343106.71436666,5341447.093093338
9,7,-2680489.551766351,134,1767777,5362906.724806024,5361247.103532702
9,6,-2640636.781601121,134,1767777,5283201.184475564,5281541.563202242
11,0,-2704634.172341061,186,1767777,5411943.998091361,5409640.344682122
11,1,-2683122.418907674,186,1767777,5368920.491224587,5366616.837815348
11,3,-2697114.9700402524,186,1767777,5396905.593489744,5394601.940080505
11,2,-2670979.9956623344,186,1767777,5344635.644733908,5342331.991324669
11,4,-2684108.943418204,186,1767777,5370893.540245647,5368589.886836408
11,5,-2655831.974200505,186,1767777,5314339.601810249,5312035.94840101
11,6,-2666233.416186618,186,1767777,5335142.485782475,5332838.832373236
11,7,-2683960.8011692353,186,1767777,5370597.255747709,5368293.6023384705
